Geo_Name,state_code,Survey_Year,Tax_Type,item,Amount
Washington,48,2019,Other Taxes,TA5,"1,513,307"
West Virginia,49,2019,Total Taxes,T00,"5,938,039"
West Virginia,49,2019,Property Taxes,T01,"7,039"
West Virginia,49,2019,Sales and Gross Receipts Taxes,TA1,"2,919,112"
West Virginia,49,2019,License Taxes,TA3,"240,841"
West Virginia,49,2019,Income Taxes,TA4,"2,295,606"
West Virginia,49,2019,Other Taxes,TA5,"475,441"
Wisconsin,50,2019,Total Taxes,T00,"20,039,033"
Wisconsin,50,2019,Property Taxes,T01,"99,934"
Wisconsin,50,2019,Sales and Gross Receipts Taxes,TA1,"8,446,278"
Wisconsin,50,2019,License Taxes,TA3,"1,265,334"
Wisconsin,50,2019,Income Taxes,TA4,"10,124,476"
Wisconsin,50,2019,Other Taxes,TA5,"103,011"
Wyoming,51,2019,Total Taxes,T00,"2,110,704"
Wyoming,51,2019,Property Taxes,T01,"273,518"
Wyoming,51,2019,Sales and Gross Receipts Taxes,TA1,"953,905"
Wyoming,51,2019,License Taxes,TA3,"208,741"
Wyoming,51,2019,Income Taxes,TA4,X
Wyoming,51,2019,Other Taxes,TA5,"674,540"
